time_B1,time_B2,time_B3,sfYFP_1,sfYFP_2,sfYFP_3,OD600_1,OD600_2,OD600_3,OD600_4,OD600_5,OD600_6
312.8703703703704,312.8703703703704,312.8703703703704,49800.365389,56532.210273000004,50748.35582,0.356,0.355,0.346,0.263,0.327,0.294
322.962962962963,322.962962962963,322.962962962963,55080.844029,59466.441233,53386.953649999996,0.368,0.366,0.357,0.27599999999999997,0.33599999999999997,0.312
333.0555555555556,333.0555555555556,333.0555555555556,57667.380699,60384.090913,60096.307259999994,0.377,0.376,0.368,0.286,0.345,0.322
343.14814814814815,343.14814814814815,343.14814814814815,58150.925179,61489.026773,58501.53765,0.382,0.385,0.382,0.296,0.361,0.32999999999999996
353.24074074074076,353.24074074074076,353.24074074074076,58096.488409,66836.183173,61846.84188,0.39099999999999996,0.39499999999999996,0.39099999999999996,0.308,0.368,0.342
363.33333333333337,363.33333333333337,363.33333333333337,60851.991489,71143.888833,62040.90795,0.39899999999999997,0.39899999999999997,0.39999999999999997,0.322,0.378,0.357
373.425925925926,373.425925925926,373.425925925926,65975.05381900001,74050.697763,66475.11673000001,0.405,0.407,0.404,0.33199999999999996,0.389,0.363
383.51851851851853,383.51851851851853,383.51851851851853,66018.39551900001,75077.975323,70833.53393,0.414,0.415,0.41,0.342,0.39999999999999997,0.372
393.61111111111114,393.61111111111114,393.61111111111114,68401.093349,77662.667423,72603.86536000001,0.421,0.422,0.418,0.354,0.408,0.38
403.70370370370375,403.70370370370375,403.70370370370375,73757.503779,81502.214783,75476.7022,0.429,0.43,0.425,0.362,0.417,0.389
413.7962962962963,413.7962962962963,413.7962962962963,77367.906069,86935.609623,79356.09209,0.437,0.437,0.433,0.371,0.427,0.39699999999999996
423.8888888888889,423.8888888888889,423.8888888888889,81738.536099,89644.390193,80911.85714000001,0.442,0.444,0.44,0.38,0.438,0.407
433.9814814814815,433.9814814814815,433.9814814814815,86657.22954900001,91327.901893,83992.0251,0.451,0.449,0.448,0.388,0.448,0.416
444.07407407407413,444.07407407407413,444.07407407407413,89486.586819,94391.756813,87227.38928,0.456,0.455,0.452,0.39599999999999996,0.454,0.422
454.1666666666667,454.1666666666667,454.1666666666667,91945.47258900001,97156.655143,90432.68392000001,0.464,0.463,0.46,0.407,0.46,0.432
464.2592592592593,464.2592592592593,464.2592592592593,94792.50022900001,98265.603913,93993.75567,0.469,0.471,0.467,0.415,0.463,0.438
474.3518518518519,474.3518518518519,474.3518518518519,99868.81401900001,96516.848683,97543.22756,0.47400000000000003,0.47500000000000003,0.4720000000000001,0.426,0.466,0.448
484.44444444444446,484.44444444444446,484.44444444444446,98516.574819,97557.555613,98418.14446000001,0.47900000000000004,0.48000000000000004,0.48000000000000004,0.434,0.464,0.452
494.53703703703707,494.53703703703707,494.53703703703707,102458.54161900001,98427.398413,100540.04916000001,0.48400000000000004,0.48799999999999993,0.48400000000000004,0.441,0.464,0.456
504.6296296296297,504.6296296296297,504.6296296296297,103310.838419,100727.346013,102905.15686,0.48699999999999993,0.49199999999999994,0.48999999999999994,0.448,0.467,0.459
